size,backend,trial,latency
16384,rccl,10,41.3500
32768,rccl,10,41.2800
65536,rccl,10,61.1800
131072,rccl,10,58.0400
262144,rccl,10,63.1700
524288,rccl,10,73.0900
1048576,rccl,10,84.5300
4,auto_dcall,1,56.8400
8,auto_dcall,1,55.4800
16,auto_dcall,1,62.0900
32,auto_dcall,1,58.2700
64,auto_dcall,1,58.2100
128,auto_dcall,1,57.7500
256,auto_dcall,1,61.0700
512,auto_dcall,1,62.4300
1024,auto_dcall,1,58.9100
2048,auto_dcall,1,62.7600
4096,auto_dcall,1,70.7000
8192,auto_dcall,1,80.6800
16384,auto_dcall,1,117.0000
32768,auto_dcall,1,160.5500
65536,auto_dcall,1,167.2600
131072,auto_dcall,1,364.5100
262144,auto_dcall,1,407.2700
524288,auto_dcall,1,745.0800
1048576,auto_dcall,1,1485.5600
4,auto_dcall,2,53.1600
8,auto_dcall,2,52.2400
16,auto_dcall,2,56.5100
32,auto_dcall,2,53.1900
64,auto_dcall,2,49.4000
128,auto_dcall,2,51.7800
256,auto_dcall,2,54.0700
512,auto_dcall,2,53.9500
1024,auto_dcall,2,53.6100
2048,auto_dcall,2,54.5800
4096,auto_dcall,2,57.4000
8192,auto_dcall,2,70.7700
16384,auto_dcall,2,109.3200
32768,auto_dcall,2,117.6300
65536,auto_dcall,2,177.7400
131072,auto_dcall,2,255.2300
262144,auto_dcall,2,427.2800
524288,auto_dcall,2,783.2800
1048576,auto_dcall,2,1445.1800
4,auto_dcall,3,54.6800
8,auto_dcall,3,52.1500
16,auto_dcall,3,57.4100
32,auto_dcall,3,52.9000
64,auto_dcall,3,50.4500
128,auto_dcall,3,57.3800
256,auto_dcall,3,62.5200
512,auto_dcall,3,57.5500
1024,auto_dcall,3,59.2300
2048,auto_dcall,3,62.5200
4096,auto_dcall,3,69.9300
8192,auto_dcall,3,84.9900
16384,auto_dcall,3,123.3700
32768,auto_dcall,3,128.2600
65536,auto_dcall,3,158.7700
131072,auto_dcall,3,247.7400
262144,auto_dcall,3,606.8000
524288,auto_dcall,3,1046.7300
1048576,auto_dcall,3,1593.2300
4,auto_dcall,4,54.0600
8,auto_dcall,4,55.9000
16,auto_dcall,4,59.6400
32,auto_dcall,4,56.1900
64,auto_dcall,4,57.2500
128,auto_dcall,4,55.2500
256,auto_dcall,4,56.1900
512,auto_dcall,4,56.2600
1024,auto_dcall,4,58.2300
2048,auto_dcall,4,60.7000
4096,auto_dcall,4,66.9700
8192,auto_dcall,4,78.0200
16384,auto_dcall,4,112.9200
32768,auto_dcall,4,160.3700
65536,auto_dcall,4,252.9700
131072,auto_dcall,4,249.4200
262144,auto_dcall,4,435.2800
524288,auto_dcall,4,907.6500
1048576,auto_dcall,4,1401.3500
4,auto_dcall,5,51.8200
8,auto_dcall,5,53.7800
16,auto_dcall,5,55.0300
32,auto_dcall,5,57.0500
64,auto_dcall,5,53.4700
128,auto_dcall,5,56.7500
256,auto_dcall,5,58.7200
512,auto_dcall,5,55.2100
