size,backend,trial,latency
16,auto_dcnone,1,123.3500
32,auto_dcnone,1,116.1500
64,auto_dcnone,1,114.5700
128,auto_dcnone,1,114.5000
256,auto_dcnone,1,123.8700
512,auto_dcnone,1,135.2800
1024,auto_dcnone,1,209.8900
2048,auto_dcnone,1,320.8400
4096,auto_dcnone,1,55.0900
8192,auto_dcnone,1,73.4800
16384,auto_dcnone,1,81.8800
32768,auto_dcnone,1,90.5800
65536,auto_dcnone,1,106.7200
131072,auto_dcnone,1,130.3400
262144,auto_dcnone,1,174.5900
524288,auto_dcnone,1,256.5600
1048576,auto_dcnone,1,400.6500
4,auto_dcnone,2,148.4300
8,auto_dcnone,2,134.0600
16,auto_dcnone,2,129.1300
32,auto_dcnone,2,126.3700
64,auto_dcnone,2,133.6400
128,auto_dcnone,2,125.1600
256,auto_dcnone,2,139.5400
512,auto_dcnone,2,148.8200
1024,auto_dcnone,2,215.7500
2048,auto_dcnone,2,339.0600
4096,auto_dcnone,2,66.7700
8192,auto_dcnone,2,71.1900
16384,auto_dcnone,2,81.1100
32768,auto_dcnone,2,96.4200
65536,auto_dcnone,2,112.2500
131072,auto_dcnone,2,137.4300
262144,auto_dcnone,2,176.2800
524288,auto_dcnone,2,258.9300
1048576,auto_dcnone,2,409.9600
4,auto_dcnone,3,141.3700
8,auto_dcnone,3,123.8000
16,auto_dcnone,3,135.0400
32,auto_dcnone,3,130.9600
64,auto_dcnone,3,140.3100
128,auto_dcnone,3,137.3500
256,auto_dcnone,3,140.4600
512,auto_dcnone,3,148.5700
1024,auto_dcnone,3,212.8600
2048,auto_dcnone,3,337.9700
4096,auto_dcnone,3,65.6300
8192,auto_dcnone,3,74.4700
16384,auto_dcnone,3,86.1700
32768,auto_dcnone,3,98.7100
65536,auto_dcnone,3,114.4000
131072,auto_dcnone,3,132.5500
262144,auto_dcnone,3,175.7500
524288,auto_dcnone,3,266.8400
1048576,auto_dcnone,3,405.7500
4,auto_dcnone,4,162.5000
8,auto_dcnone,4,132.9200
16,auto_dcnone,4,132.0400
32,auto_dcnone,4,123.9700
64,auto_dcnone,4,123.3600
128,auto_dcnone,4,122.7400
256,auto_dcnone,4,129.5100
512,auto_dcnone,4,143.9500
1024,auto_dcnone,4,204.5600
